DATAFLOW,LAST UPDATE,freq,unit,citizen,sex,age,decision,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y35-64,REJECTED,FR,2015,555,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y35-64,REJECTED,FR,2016,495,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y35-64,REJECTED,FR,2017,770,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y35-64,REJECTED,FR,2018,920,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y35-64,REJECTED,FR,2019,720,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y35-64,TOTAL_POS,FR,2015,30,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y35-64,TOTAL_POS,FR,2016,35,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y35-64,TOTAL_POS,FR,2017,40,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y35-64,TOTAL_POS,FR,2018,60,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y35-64,TOTAL_POS,FR,2019,40,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y_GE65,REJECTED,FR,2015,5,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y_GE65,REJECTED,FR,2016,60,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y_GE65,REJECTED,FR,2017,90,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y_GE65,REJECTED,FR,2018,110,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y_GE65,REJECTED,FR,2019,20,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y_GE65,TOTAL_POS,FR,2015,0,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y_GE65,TOTAL_POS,FR,2016,10,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y_GE65,TOTAL_POS,FR,2017,5,
ESTAT:MIGR_ASYDCFSTA(1.0),03/06/21 11:00:00,A,PER,AM,T,Y_GE65,TOTAL_POS,FR,2018,10,
